DateTime,AddedIPs,RemovedIPs
1528568894,459,458
1528569878,494,489
1528570820,437,441
1528571790,450,451
1528572733,469,472
1528573702,420,418
1528574658,469,471
1528575618,466,466
1528576581,426,426
1528577550,431,435
1528578502,382,370
1528579487,418,426
1528580415,444,441
1528581370,441,451
1528582358,456,442
1528583299,430,434
1528584392,429,433
1528586454,461,461
1528587381,435,439
1528588340,385,388
1528589316,400,392
1528590288,483,494
1528591212,505,490
1528592188,439,457
1528593172,440,439
1528594105,457,451
1528595077,465,465
1528596024,505,505
1528596974,467,490
1528597956,431,414
1528598900,396,413
1528599862,410,394
1528600811,375,377
1528601821,429,426
1528602747,426,432
1528603708,478,466
1528604655,447,456
1528605648,437,433
1528606572,448,454
1528607554,444,451
1528608501,427,415
1528609471,459,459
1528610422,479,479
1528611381,442,445
1528612355,457,456
1528613300,436,445
1528614271,462,441
1528615214,481,489
1528616187,437,440
1528617138,447,456
1528618106,486,467
1528619068,457,468
1528620014,464,451
1528620987,425,437
1528621950,425,422
1528622901,421,427
1528623875,447,444
1528624842,452,449
1528625777,439,443
1528626748,424,416
1528627699,438,440
1528628663,407,408
1528629614,432,427
1528630598,449,449
1528631532,450,456
1528632510,473,464
1528633465,458,462
1528634416,387,383
1528635380,462,470
1528636604,451,454
1528637536,442,434
1528638537,458,459
1528639466,471,468
1528640420,434,434
1528641393,437,435
1528642346,390,395
1528643294,415,411
1528644300,440,441
1528645215,395,391
1528646175,449,452
1528647155,458,459
1528648093,455,458
1528649075,421,412
1528650032,417,418
1528650973,448,449
1528651959,443,450
1528652898,413,408
1528653884,452,452
1528654816,475,473
1528655799,414,408
1528656733,414,429
1528657700,414,402
1528658680,481,483
1528659632,482,475
1528660573,465,479
1528661574,446,449
1528662500,422,414
1528663472,428,428
1528664421,461,462
1528666876,471,462
1528668014,460,472
1528668989,401,400
1528669943,410,407
1528670911,401,398
1528671859,444,443
1528672835,424,430
1528673774,402,394
1528674743,380,390
1528675711,398,389
1528676666,461,477
1528677625,470,453
1528678588,394,402
1528679535,390,395
1528680511,450,446
1528681464,473,471
1528682451,419,418
1528683373,401,400
1528684363,426,432
1528685303,444,442
1528686288,459,468
1528687230,425,426
1528688189,452,449
1528689150,453,450
1528690103,460,459
1528691061,449,455
1528692026,409,403
1528692987,374,378
1528693942,389,395
1528694893,451,449
1528695885,479,471
1528696830,451,456
1528697779,411,411
1528698757,440,433
1528699697,416,434
1528700656,408,398
1528701662,405,415
1528702572,442,438
1528703570,476,476
1528704494,509,496
1528705481,480,497
1528706665,444,458
1528707628,468,442
1528708590,437,443
1528709538,459,456
1528710499,464,463
1528711480,405,401
1528712415,360,371
