DateTime,AddedIPs,RemovedIPs
1528568894,110,100
1528569878,78,111
1528570820,90,123
1528571790,110,70
1528572733,71,98
1528573702,88,71
1528574658,95,86
1528575618,62,90
1528576581,67,93
1528577550,69,84
1528578502,72,3
1528579487,108,203
1528580415,90,5
1528581370,81,104
1528582358,117,181
1528583299,55,2
1528584392,87,96
1528586454,107,171
1528587381,85,107
1528588340,83,121
1528589316,77,82
1528590288,154,111
1528591212,123,81
1528592188,113,104
1528593172,106,117
1528594105,122,85
1528595077,117,76
1528596024,140,95
1528596974,105,131
1528597956,93,88
1528598900,71,92
1528599862,79,111
1528600811,80,74
1528601821,90,88
1528602747,75,81
1528603708,98,80
1528604655,122,90
1528605648,81,126
1528606572,120,129
1528607554,86,109
1528608501,85,95
1528609471,142,81
1528610422,78,101
1528611381,90,82
1528612355,108,121
1528613300,90,120
1528614271,137,128
1528615214,87,122
1528616187,87,111
1528617138,120,122
1528618106,130,149
1528619068,103,93
1528620014,105,149
1528620987,118,118
1528621950,94,102
1528622901,99,92
1528623875,97,115
1528624842,117,145
1528625777,100,123
1528626748,108,143
1528627699,83,72
1528628663,73,86
1528629614,77,100
1528630598,104,116
1528631532,95,79
1528632510,99,106
1528633465,101,90
1528634416,72,90
1528635380,122,85
1528636604,88,73
1528637536,112,90
1528638537,86,89
1528639466,90,89
1528640420,97,67
1528641393,78,80
1528642346,97,72
1528643294,92,124
1528644300,82,82
1528645215,79,77
1528646175,98,77
1528647155,89,80
1528648093,108,88
1528649075,58,85
1528650032,90,94
1528650973,79,67
1528651959,107,107
1528652898,79,81
1528653884,112,83
1528654816,89,74
1528655799,87,119
1528656733,85,73
1528657700,94,91
1528658680,110,97
1528659632,86,70
1528660573,110,102
1528661574,74,119
1528662500,77,78
1528663472,78,75
1528664421,118,105
1528666876,126,293
1528668014,75,81
1528668989,79,109
1528669943,86,83
1528670911,67,104
1528671859,75,2
1528672835,61,1
1528673774,74,72
1528674743,74,188
1528675711,63,2
1528676666,129,93
1528677625,70,246
1528678588,82,114
1528679535,83,3
1528680511,121,211
1528681464,72,1
1528682451,109,280
1528683373,80,2
1528684363,93,173
1528685303,105,99
1528686288,124,85
1528687230,91,88
1528688189,93,3
1528689150,85,183
1528690103,97,3
1528691061,112,154
1528692026,76,2
1528692987,71,170
1528693942,77,1
1528694893,118,73
1528695885,94,242
1528696830,104,74
1528697779,99,1
1528698757,103,177
1528699697,69,1
1528700656,81,83
1528701662,98,197
1528702572,95,3
1528703570,98,242
1528704494,174,3
1528705481,149,207
1528706665,104,116
1528707628,119,96
1528708590,61,81
1528709538,131,112
1528710499,89,92
1528711480,98,113
1528712415,75,115
