DateTime,Entries,UniqueIPs
1527742366,9389,9389
1527744277,9388,9388
1527746201,9394,9394
1527748147,9384,9384
1527750104,9386,9386
1527751962,9388,9388
1527753890,9376,9376
1527755801,9362,9362
1527757719,9348,9348
1527759634,9342,9342
1527761568,9353,9353
1527763506,9338,9338
1527765396,9341,9341
1527767315,9333,9333
1527769257,9317,9317
1527771173,9306,9306
1527773071,9283,9283
1527774994,9273,9273
1527776907,9259,9259
1527778914,9263,9263
1527780796,9254,9254
1527782674,9259,9259
1527784635,9250,9250
1527786547,9248,9248
1527788471,9240,9240
1527790506,9232,9232
1527792318,9224,9224
1527794188,9217,9217
1527796145,9214,9214
1527798028,8000,8000
1527799964,4170,4170
1527801882,1210,1210
1527803803,1193,1193
1527806013,1172,1172
1527807880,1145,1145
1527809829,1151,1151
1527811720,1147,1147
1527813637,1147,1147
1527815567,1134,1134
1527817507,1134,1134
1527819399,1115,1115
1527821336,1097,1097
1527823234,1087,1087
1527825176,1073,1073
1527827081,1060,1060
1527829022,1048,1048
1527830918,1033,1033
1527832910,1019,1019
1527834781,1018,1018
1527836679,1009,1009
1527838612,989,989
1527840532,966,966
1527842462,957,957
1527844373,949,949
1527846320,939,939
1527848199,919,919
1527850120,917,917
1527852050,938,938
1527853959,1678,1678
1527855878,1701,1701
1527857844,1715,1715
1527859712,1722,1722
1527861708,1730,1730
1527863575,1748,1748
1527865478,1744,1744
1527867415,1749,1749
1527869355,1747,1747
1527871239,1751,1751
1527873097,1747,1747
1527875073,1756,1756
1527876983,1752,1752
1527878920,1759,1759
1527880822,1747,1747
1527882743,1745,1745
1527884683,1748,1748
1527886585,1736,1736
1527888502,1733,1733
1527890552,1732,1732
1527894181,1726,1726
1527896174,1728,1728
1527898405,1729,1729
1527900312,1731,1731
1527902249,1732,1732
1527904152,1731,1731
1527906082,1737,1737
1527907997,1731,1731
1527909927,1740,1740
1527911828,1752,1752
1527916450,1741,1741
1527918691,1733,1733
1527921147,1731,1731
1527923338,1732,1732
1527923338,1732,1732
1527926039,1735,1735
1527926039,1735,1735
1527928529,1731,1731
1527930873,1722,1722
1527930873,1722,1722
1527933085,1727,1727
1527935227,1720,1720
1527935227,1720,1720
1527937883,1702,1702
1527937883,1702,1702
1527940245,983,983
1527940245,983,983
1527942656,955,955
1527942656,955,955
1527944979,948,948
1527944979,948,948
1527947223,922,922
1527951403,913,913
1527951403,913,913
1527953733,859,859
1527953733,859,859
1527956419,949,949
1527956419,949,949
1527958707,859,859
1527958707,859,859
1527961208,962,962
1527961208,962,962
1527963576,860,860
1527965978,987,987
1527965978,987,987
1527968431,1010,1010
1527968431,1010,1010
1527972893,861,861
1527974871,861,861
1527974871,861,861
1527977299,574,574
1527984248,1083,1083
1527984248,1083,1083
1527991412,1114,1114
1527991412,1114,1114
1527993833,1124,1124
1527993833,1124,1124
1527996233,1115,1115
1527996233,1115,1115
1527998624,1127,1127
1527998624,1127,1127
1528001092,1124,1124
1528003389,860,860
1528005415,1128,1128
1528007370,1131,1131
1528009333,1136,1136
1528011148,1144,1144
1528013067,1146,1146
1528014999,1150,1150
1528016906,1146,1146
1528018848,1136,1136
1528020749,1133,1133
1528022662,1143,1143
1528024490,1138,1138
1528026496,1143,1143
1528028313,1138,1138
1528030348,1138,1138
1528032266,1141,1141
1528034185,1146,1146
1528036108,1129,1129
1528038105,1134,1134
1528039950,1099,1099
1528041877,1084,1084
1528043778,1074,1074
1528045706,1062,1062
1528047707,1060,1060
1528049551,1052,1052
1528051510,1050,1050
1528053400,1043,1043
1528055343,1053,1053
1528057228,1045,1045
1528059194,1047,1047
1528061070,1043,1043
1528063014,1042,1042
1528064923,1033,1033
1528066914,1033,1033
1528068755,1021,1021
1528070696,1024,1024
1528072579,1014,1014
1528074542,998,998
1528076425,991,991
1528078396,984,984
1528080264,974,974
1528082240,985,985
1528084116,975,975
1528086057,964,964
1528087949,965,965
1528089905,950,950
1528091778,946,946
1528093731,941,941
1528095709,924,924
1528097591,919,919
1528099470,5491,5491
1528101450,7265,7265
1528103305,7263,7263
1528105271,7259,7259
1528107154,7253,7253
1528109098,7238,7238
1528110988,7238,7238
1528112926,7233,7233
1528114839,7238,7238
1528116790,7237,7237
1528118683,7240,7240
1528120549,7246,7246
1528122511,7282,7282
1528124507,7269,7269
1528126347,7311,7311
1528128338,7351,7351
1528130194,7347,7347
1528132142,7375,7375
1528134054,7370,7370
1528135960,7377,7377
1528137875,7381,7381
1528139812,7639,7639
1528141717,7642,7642
1528143640,7767,7767
1528145572,7777,7777
1528147484,7961,7961
1528149393,7973,7973
1528151337,8091,8091
1528153320,8090,8090
1528155152,8240,8240
1528157072,8355,8355
1528159005,8372,8372
1528160914,8375,8375
1528162826,8375,8375
1528164756,8377,8377
1528166676,8375,8375
1528168591,8373,8373
1528170544,8377,8377
1528172439,8378,8378
1528174351,8378,8378
1528176288,8384,8384
1528178189,8382,8382
1528180411,8390,8390
1528182275,8385,8385
1528184186,8390,8390
1528186109,2935,2935
1528188025,2104,2104
1528189947,2110,2110
1528191873,2117,2117
1528193785,2115,2115
1528195703,2124,2124
1528197633,2119,2119
1528199550,2123,2123
1528201462,2113,2113
1528203387,2114,2114
1528205310,2114,2114
1528207308,2115,2115
1528209154,2101,2101
1528211082,2087,2087
1528213504,2092,2092
1528215408,2080,2080
1528217316,2071,2071
1528219222,2069,2069
1528221166,2060,2060
1528223066,2063,2063
1528225007,2057,2057
1528226898,1963,1963
1528229018,1875,1875
1528230980,1873,1873
1528232914,1737,1737
1528234823,1732,1732
1528236753,1591,1591
1528238663,1610,1610
1528240580,1409,1409
1528242506,1420,1420
1528244430,1042,1042
1528246342,1051,1051
1528248274,1053,1053
1528250189,1046,1046
1528252099,1049,1049
1528254113,1051,1051
1528256037,1038,1038
1528257870,1036,1036
1528259794,1033,1033
1528261700,1024,1024
1528263625,1022,1022
1528265568,1024,1024
1528267780,1019,1019
1528269629,1010,1010
1528271566,1006,1006
1528273473,998,998
1528275398,996,996
1528277313,992,992
1528279301,987,987
1528281162,973,973
1528283083,965,965
1528285003,947,947
1528286928,942,942
1528288829,932,932
1528290765,930,930
1528292688,935,935
1528294586,929,929
1528296509,940,940
1528298434,948,948
1528300345,934,934
1528302281,936,936
1528304183,937,937
1528306280,947,947
1528308298,995,995
1528311725,1032,1032
1528313596,1051,1051
1528320512,1146,1146
1528324431,1187,1187
1528326792,1224,1224
1528331842,1211,1211
